model,attack,density,comparison,metric,n_images,mean_a,mean_b,mean_difference,ci_95_low,ci_95_high,ci_excludes_zero,bootstrap_samples,bootstrap_seed
3k_baseline,diffusion,0.1,Random -> O150,ber,300,0.47311111111111115,0.4822222222222223,0.009111111111111111,0.001555555555555557,0.016555555555555546,True,10000,42
3k_baseline,diffusion,0.1,Random -> O150,psnr_attack,300,22.448756090799968,27.079835732777912,4.631079641977946,4.41650492254893,4.843566829840342,True,10000,42
3k_baseline,diffusion,0.1,Random -> O150,ssim_attack,300,0.6238112434744835,0.764870357811451,0.14105911433696747,0.13504618322352568,0.1471031603217125,True,10000,42
3k_baseline,diffusion,0.1,Random -> O150,psnr_final,300,22.35264232635498,26.800377311706544,4.447734985351563,4.2480548876126605,4.649108364979426,True,10000,42
3k_baseline,diffusion,0.1,Random -> O150,ssim_final,300,0.6234685211877028,0.7717761285106342,0.1483076073229313,0.1424080873467028,0.15415111703301468,True,10000,42
3k_baseline,diffusion,0.1,Random -> O300,ber,300,0.47311111111111115,0.47855555555555557,0.005444444444444446,-0.0023333333333333296,0.013111111111111103,False,10000,42
3k_baseline,diffusion,0.1,Random -> O300,psnr_attack,300,22.448756090799968,25.41413226445516,2.965376173655192,2.8062547275225325,3.1226160244146985,True,10000,42
3k_baseline,diffusion,0.1,Random -> O300,ssim_attack,300,0.6238112434744835,0.7457772443691889,0.12196600089470545,0.11455040986339252,0.12934384334584076,True,10000,42
3k_baseline,diffusion,0.1,Random -> O300,psnr_final,300,22.35264232635498,25.2014724667867,2.8488301404317222,2.690184033314387,3.0089374144872028,True,10000,42
3k_baseline,diffusion,0.1,Random -> O300,ssim_final,300,0.6234685211877028,0.7520799711346626,0.1286114499469598,0.12136961555853486,0.13574957954635222,True,10000,42
3k_baseline,diffusion,0.1,O150 -> O300,ber,300,0.4822222222222223,0.47855555555555557,-0.003666666666666665,-0.008333333333333337,0.0008888888888888911,False,10000,42
3k_baseline,diffusion,0.1,O150 -> O300,psnr_attack,300,27.079835732777912,25.41413226445516,-1.6657034683227538,-1.8471541794141133,-1.4931006433169047,True,10000,42
3k_baseline,diffusion,0.1,O150 -> O300,ssim_attack,300,0.764870357811451,0.7457772443691889,-0.019093113442262014,-0.02156259487569332,-0.016776428381601968,True,10000,42
3k_baseline,diffusion,0.1,O150 -> O300,psnr_final,300,26.800377311706544,25.2014724667867,-1.5989048449198404,-1.7695529692967733,-1.4359845388730368,True,10000,42
3k_baseline,diffusion,0.1,O150 -> O300,ssim_final,300,0.7717761285106342,0.7520799711346626,-0.019696157375971475,-0.02213290913403034,-0.01736625039080779,True,10000,42
3k_baseline,diffusion,0.3,Random -> O150,ber,300,0.3225555555555555,0.29733333333333334,-0.025222222222222222,-0.033888888888888885,-0.016552777777777812,True,10000,42
3k_baseline,diffusion,0.3,Random -> O150,psnr_attack,300,25.601819502512615,34.15626490910848,8.554445406595866,8.283701110839843,8.821681452592214,True,10000,42
3k_baseline,diffusion,0.3,Random -> O150,ssim_attack,300,0.7930054245392482,0.9166971814632415,0.12369175692399342,0.1171633498320977,0.13036908553044,True,10000,42
3k_baseline,diffusion,0.3,Random -> O150,psnr_final,300,25.256150557200115,32.38192260742188,7.125772050221761,6.899733916759491,7.345704215049744,True,10000,42
3k_baseline,diffusion,0.3,Random -> O150,ssim_final,300,0.7766470513741175,0.9148896143833796,0.13824256300926208,0.13174067154030006,0.14483872301876544,True,10000,42
3k_baseline,diffusion,0.3,Random -> O300,ber,300,0.3225555555555555,0.30066666666666675,-0.02188888888888889,-0.030444444444444444,-0.013333333333333334,True,10000,42
3k_baseline,diffusion,0.3,Random -> O300,psnr_attack,300,25.601819502512615,32.87711495081584,7.275295448303223,7.031090805053711,7.517750216007232,True,10000,42
3k_baseline,diffusion,0.3,Random -> O300,ssim_attack,300,0.7930054245392482,0.9082275482018789,0.11522212366263072,0.10853459458549818,0.1221389709909757,True,10000,42
3k_baseline,diffusion,0.3,Random -> O300,psnr_final,300,25.256150557200115,31.41616495132446,6.160014394124349,5.952038788159689,6.356765228589375,True,10000,42
3k_baseline,diffusion,0.3,Random -> O300,ssim_final,300,0.7766470513741175,0.9061021806796392,0.12945512930552164,0.12284219650427501,0.1363262653251489,True,10000,42
3k_baseline,diffusion,0.3,O150 -> O300,ber,300,0.29733333333333334,0.30066666666666675,0.0033333333333333335,-0.001888888888888887,0.008555555555555554,False,10000,42
