model,mask_type,density,attack,PSNR,SSIM,BER,num_images
Frozen UNet,Optimized_d300_n200,0.3,navier,30.339325834910074,0.8736802349487941,0.27288888888888885,300
Baseline,Optimized_d300_n200,0.1,telea,23.411635411580402,0.6826663170258204,0.4782222222222226,300
Haar Wavelet,Optimized_d150_n100,0.1,mean,14.28455531915029,0.43791135971744855,0.4446666666666667,300
Gaussian Blur,Optimized_d150_n100,0.3,mean,15.650208511352538,0.4783483427762985,0.38466666666666616,300
Gaussian Blur,Optimized_d150_n100,0.1,mean,14.324939343134561,0.4353899674117565,0.4618888888888887,300
Haar Wavelet,Optimized_d150_n100,0.3,mean,15.568464733759562,0.48103463475902875,0.32955555555555527,300
Frozen UNet,Optimized_d150_n100,0.3,telea,28.621087970733644,0.8512517845630646,0.30366666666666653,300
Baseline,Optimized_d300_n200,0.3,mean,15.627219683329264,0.48853108763694764,0.45622222222222225,300
Baseline,Optimized_d150_n100,0.3,navier,30.596203994750976,0.8794614668687185,0.3204444444444439,300
Baseline,Optimized_d150_n100,0.3,mean,15.643248850504557,0.48280006711681683,0.4599999999999999,300
Baseline,Optimized_d300_n200,0.3,diffusion,32.48548154830932,0.9165057257811229,0.28977777777777775,300
Baseline,Optimized_d150_n100,0.1,diffusion,26.800377311706544,0.7717761285106342,0.482222222222222,300
Baseline,Optimized_d150_n100,0.1,navier,24.315628801981607,0.6886034090320269,0.48344444444444484,300
Haar Wavelet,Optimized_d300_n200,0.3,mean,15.551841449737548,0.48689892709255217,0.3285555555555552,300
Gaussian Blur,Optimized_d300_n200,0.1,telea,23.47040491104126,0.6777332638700803,0.4233333333333332,300
Haar Wavelet,Optimized_d300_n200,0.1,diffusion,26.216664079030355,0.7762394548455874,0.3825555555555554,300
Gaussian Blur,Optimized_d300_n200,0.1,diffusion,27.35363136291504,0.7793953051169713,0.37833333333333286,300
Gaussian Blur,Optimized_d150_n100,0.3,navier,30.149303690592447,0.8697009366750718,0.18544444444444455,300
Baseline,Optimized_d300_n200,0.1,diffusion,27.36314400990804,0.7815625802675883,0.47577777777777763,300
Haar Wavelet,Optimized_d300_n200,0.3,diffusion,29.444766362508137,0.8972993508974711,0.18622222222222234,300
Frozen UNet,Optimized_d300_n200,0.3,mean,15.636826626459758,0.4835837847491105,0.4236666666666664,300
Haar Wavelet,Optimized_d300_n200,0.1,navier,23.348170251846312,0.6681796931227049,0.38455555555555504,300
Gaussian Blur,Optimized_d300_n200,0.1,mean,14.275397760073345,0.442712645928065,0.4581111111111112,300
Frozen UNet,Optimized_d150_n100,0.3,mean,15.65273294130961,0.4778896859288216,0.4254444444444443,300
Frozen UNet,Optimized_d150_n100,0.1,mean,14.317182987531027,0.4356799226999283,0.48377777777777786,300
Gaussian Blur,Optimized_d300_n200,0.3,mean,15.634048566818237,0.48420439526438713,0.38244444444444425,300
Baseline,Optimized_d150_n100,0.1,telea,23.3731586933136,0.6815537324547768,0.47800000000000004,300
Frozen UNet,Optimized_d150_n100,0.1,navier,24.290455106099447,0.6856212080518405,0.4600000000000001,300
Frozen UNet,Optimized_d150_n100,0.3,navier,30.32855697631836,0.8733979256947836,0.2743333333333333,300
Gaussian Blur,Optimized_d150_n100,0.3,diffusion,31.917560799916586,0.9079258642594019,0.1645555555555558,300
Gaussian Blur,Optimized_d150_n100,0.1,diffusion,26.841521027882894,0.7697805560628573,0.38877777777777744,300
Baseline,Optimized_d150_n100,0.3,diffusion,32.38192260742188,0.9148896143833796,0.2973333333333332,300
Gaussian Blur,Optimized_d150_n100,0.1,navier,24.224379212061564,0.6814337487022082,0.4075555555555552,300
Frozen UNet,Optimized_d300_n200,0.3,telea,28.58472484588623,0.8507613035043081,0.3048888888888885,300
Gaussian Blur,Optimized_d300_n200,0.3,navier,30.15769993464152,0.8699699328343073,0.18855555555555575,300
Frozen UNet,Optimized_d150_n100,0.3,diffusion,32.07866229375203,0.9096000607808431,0.24711111111111117,300
