model,attack,removal_ratio,actual_removal_ratio,PSNR_final,SSIM_final,PSNR_attack,SSIM_attack,BER,num_images
Baseline,diffusion,0.1,0.09978108723958333,27.38480646769206,0.8943966736396154,28.647143624623617,0.9416568211714427,0.027333333333333307,300
Baseline,diffusion,0.2,0.1997991943359375,24.39459388097127,0.8391393917798996,24.974117380777994,0.8808130866289139,0.029444444444444412,300
Baseline,diffusion,0.30000000000000004,0.2998077392578125,22.51124119122823,0.7836827882130941,22.867516991297403,0.8195302347342174,0.03288888888888884,300
Baseline,diffusion,0.4,0.39980712890625,20.852519985834757,0.7241350489854813,21.06398134549459,0.7545917785167694,0.037444444444444384,300
Baseline,diffusion,0.5,0.4997955322265625,19.604432315826415,0.6636712199449539,19.75082239151001,0.6884487418333689,0.046333333333333226,300
Baseline,diffusion,0.6,0.5997798665364583,18.33935392697652,0.6021384349465371,18.439427108764647,0.62126601288716,0.07422222222222227,300
Baseline,diffusion,0.7000000000000001,0.6998195393880209,17.178998753229777,0.536702820956707,17.24663100560506,0.5501060130198797,0.13688888888888903,300
Baseline,diffusion,0.8,0.7998024495442708,15.978927669525147,0.4696727586289247,16.029296134312947,0.4769126005470753,0.24144444444444452,300
Baseline,diffusion,0.9,0.8998551432291667,15.127950010299683,0.4043451701104641,15.159477904637654,0.4050011963148912,0.3801111111111107,300
Baseline,mean,0.1,0.09978108723958333,24.082293866475425,0.8662389113505682,24.646545728047688,0.9126284301280976,0.028555555555555525,300
Baseline,mean,0.2,0.1997991943359375,21.28291617075602,0.7921529499689738,21.57208960533142,0.8324499821662903,0.030111111111111068,300
Baseline,mean,0.30000000000000004,0.2998077392578125,19.511083717346192,0.7205049216747283,19.702196791966756,0.7543613251050313,0.034888888888888824,300
Baseline,mean,0.4,0.39980712890625,18.208467575709026,0.651576008995374,18.335319420496624,0.6797783327102661,0.0428888888888888,300
Baseline,mean,0.5,0.4997955322265625,17.158510859807333,0.5850985191265742,17.25069670041402,0.6074097257852554,0.05999999999999993,300
Baseline,mean,0.6,0.5997798665364583,16.2890740331014,0.5263174774249395,16.35896688779195,0.5432040532430013,0.0933333333333334,300
Baseline,mean,0.7000000000000001,0.6998195393880209,15.566995423634847,0.46733377685149513,15.617957725524903,0.47866370290517807,0.16388888888888906,300
Baseline,mean,0.8,0.7998024495442708,14.808876063028972,0.4115406801303228,14.849950606028239,0.41714140887061757,0.259222222222222,300
Baseline,mean,0.9,0.8998551432291667,14.207123031616211,0.35757029461363954,14.23321715037028,0.3570044270157814,0.4001111111111106,300
Baseline,navier,0.1,0.09978108723958333,27.44750946680705,0.8964018660783768,28.748348960876466,0.943629360596339,0.03622222222222216,300
Baseline,navier,0.2,0.1997991943359375,24.446204379399617,0.8435619837045669,25.027267847061157,0.8851399030288061,0.04199999999999992,300
Baseline,navier,0.30000000000000004,0.2998077392578125,22.71070936203003,0.792334757844607,23.043214305241904,0.8280674443642299,0.052888888888888784,300
Baseline,navier,0.4,0.39980712890625,21.07658712387085,0.7363536582390467,21.26286441485087,0.7665361926952998,0.07355555555555561,300
Baseline,navier,0.5,0.4997955322265625,19.89790154139201,0.6781748692194621,20.02899419784546,0.702666140794754,0.10655555555555571,300
Baseline,navier,0.6,0.5997798665364583,18.551622924804686,0.6172942283749581,18.633171195983888,0.6361168857415517,0.16200000000000017,300
Baseline,navier,0.7000000000000001,0.6998195393880209,17.30339592297872,0.5532927566766739,17.355332927703856,0.5658565246065458,0.2297777777777779,300
Baseline,navier,0.8,0.7998024495442708,16.109858662287394,0.4851883229613304,16.14602019627889,0.4914300575852394,0.3236666666666664,300
