model,mask_type,density,attack,PSNR_final,SSIM_final,PSNR_attack,SSIM_attack,BER,num_images
Baseline,O150,0.1,diffusion,26.800377311706544,0.7717761285106342,27.079835732777912,0.764870357811451,0.482222222222222,300
Baseline,O300,0.1,diffusion,25.2014724667867,0.7520799711346626,25.41413226445516,0.7457772443691889,0.4785555555555556,300
Baseline,Random,0.1,diffusion,22.35264232635498,0.6234685211877028,22.448756090799968,0.6238112434744835,0.47311111111111065,300
Baseline,O150,0.3,diffusion,32.38192260742188,0.9148896143833796,34.15626490910848,0.9166971814632415,0.2973333333333332,300
Baseline,O300,0.3,diffusion,31.41616495132446,0.9061021806796392,32.87711495081584,0.9082275482018789,0.3006666666666664,300
Baseline,Random,0.3,diffusion,25.256150557200115,0.7766470513741175,25.601819502512615,0.7930054245392482,0.322555555555555,300
Baseline,O150,0.1,mean,14.29982426961263,0.4381636659304301,14.341539758046467,0.43133377398053807,0.4952222222222221,300
Baseline,O300,0.1,mean,14.252025054295858,0.44531041373809177,14.293955704371134,0.43879178861776985,0.4975555555555556,300
Baseline,Random,0.1,mean,14.608897953033447,0.27900505863130093,14.640123856862386,0.27887510577837626,0.500111111111111,300
Baseline,O150,0.3,mean,15.643248850504557,0.48280006711681683,15.699965127309163,0.48187816873192785,0.4599999999999999,300
Baseline,O300,0.3,mean,15.627219683329264,0.48853108763694764,15.684110809961954,0.48753563260038696,0.45622222222222225,300
Baseline,Random,0.3,mean,15.682996199925741,0.32805714157720406,15.732017828623453,0.3353956281393766,0.48166666666666696,300
Baseline,O150,0.1,navier,24.315628801981607,0.6886034090320269,24.420712776184082,0.6832084739208222,0.48344444444444484,300
Baseline,O300,0.1,navier,24.457443176905315,0.6909902287522952,24.577697041829428,0.6853995914260547,0.4820000000000001,300
Baseline,Random,0.1,navier,21.52009278933207,0.5989836318294207,21.590018310546874,0.6002820259829362,0.4863333333333333,300
Baseline,O150,0.3,navier,30.596203994750976,0.8794614668687185,31.659030323028563,0.8817453815539678,0.3204444444444439,300
Baseline,O300,0.3,navier,30.59091512044271,0.8793113362789154,31.66457504272461,0.8816271768013636,0.31288888888888855,300
Baseline,Random,0.3,navier,24.54430902481079,0.7561704691251119,24.800537926355997,0.7720932962497076,0.36366666666666625,300
Baseline,O150,0.1,telea,23.3731586933136,0.6815537324547768,23.543585093816123,0.67616959999005,0.47800000000000004,300
Baseline,O300,0.1,telea,23.411635411580402,0.6826663170258204,23.595145298639935,0.677080248494943,0.4782222222222226,300
Baseline,Random,0.1,telea,21.631852442423504,0.5963216248651345,21.74048123041789,0.5957263439893723,0.4848888888888891,300
Baseline,O150,0.3,telea,28.656670347849527,0.8564503832658132,29.439436111450195,0.8567151743173599,0.35366666666666624,300
Baseline,O300,0.3,telea,28.605069885253908,0.855647690097491,29.391889940897624,0.8559022937218348,0.3525555555555552,300
Baseline,Random,0.3,telea,23.915054658253986,0.7247755766908328,24.151468747456867,0.7373452043533325,0.40022222222222237,300
Frozen UNet,O150,0.1,diffusion,26.792689634958904,0.7700808597604434,27.022613309224447,0.7625000877181689,0.44777777777777755,300
Frozen UNet,O300,0.1,diffusion,25.215578826268516,0.7505746872226398,25.325220317840575,0.7426429330309232,0.44866666666666655,300
Frozen UNet,Random,0.1,diffusion,22.35763984998067,0.6212417307992776,22.570928389231366,0.6274445157249768,0.4651111111111109,300
Frozen UNet,O150,0.3,diffusion,32.07866229375203,0.9096000607808431,33.95069659550985,0.9127060002088547,0.24711111111111117,300
Frozen UNet,O300,0.3,diffusion,31.21530803044637,0.901153798699379,32.684312699635825,0.9038698607683182,0.25344444444444447,300
Frozen UNet,Random,0.3,diffusion,25.203400433858235,0.7697102452317873,25.757541007995606,0.7949060640732447,0.2932222222222223,300
Frozen UNet,O150,0.1,mean,14.317182987531027,0.4356799226999283,14.294436292648316,0.42465712264180183,0.48377777777777786,300
Frozen UNet,O300,0.1,mean,14.269531997044881,0.44280513375997543,14.247690321604411,0.4321889699002107,0.48155555555555557,300
Frozen UNet,Random,0.1,mean,14.603754889170329,0.27733778739968934,14.617237068812052,0.2773698259393374,0.4880000000000003,300
Frozen UNet,O150,0.3,mean,15.65273294130961,0.4778896859288216,15.644554408391317,0.47337174594402315,0.4254444444444443,300
Frozen UNet,O300,0.3,mean,15.636826626459758,0.4835837847491105,15.629439163208009,0.4790220302840074,0.4236666666666664,300
Frozen UNet,Random,0.3,mean,15.671767800649008,0.3240812256683906,15.709387578964233,0.3328112537910541,0.4574444444444444,300
Frozen UNet,O150,0.1,navier,24.290455106099447,0.6856212080518405,24.474018748601278,0.6826880152026812,0.4600000000000001,300
Frozen UNet,O300,0.1,navier,24.44116102854411,0.6886877857645353,24.62194052060445,0.6850667149821917,0.45888888888888885,300
Frozen UNet,Random,0.1,navier,21.532991174062094,0.596541481266419,21.70483328183492,0.6039171190559864,0.46555555555555544,300
Frozen UNet,O150,0.3,navier,30.32855697631836,0.8733979256947836,31.524102414449057,0.878010737101237,0.2743333333333333,300
Frozen UNet,O300,0.3,navier,30.339325834910074,0.8736802349487941,31.529837849934896,0.8779101566473643,0.27288888888888885,300
Frozen UNet,Random,0.3,navier,24.503441721598307,0.7495255416631699,24.947565619150797,0.7743765763441721,0.32455555555555526,300
Frozen UNet,O150,0.1,telea,23.414477275212604,0.678857356707255,23.56419851620992,0.674056486884753,0.457888888888889,300
Frozen UNet,O300,0.1,telea,23.46300098737081,0.6804149535298347,23.60863456408183,0.6749491846561432,0.4592222222222222,300
Frozen UNet,Random,0.1,telea,21.667568950653077,0.5947658420602481,21.848303467432657,0.5990673812230428,0.4718888888888888,300
Frozen UNet,O150,0.3,telea,28.621087970733644,0.8512517845630646,29.371923173268637,0.8523681749900182,0.30366666666666653,300
Frozen UNet,O300,0.3,telea,28.58472484588623,0.8507613035043081,29.327547175089517,0.851499032775561,0.3048888888888885,300
Frozen UNet,Random,0.3,telea,23.91000684738159,0.7193091746171315,24.277878239949544,0.739672658642133,0.3609999999999996,300
Gaussian Blur,O150,0.1,diffusion,26.841521027882894,0.7697805560628573,27.04722602844238,0.750822375714779,0.38877777777777744,300
Gaussian Blur,O300,0.1,diffusion,25.27432148615519,0.7501850392421087,25.406383323669434,0.731857199370861,0.38277777777777755,300
Gaussian Blur,Random,0.1,diffusion,22.300091206232707,0.6170731923977534,22.50516037305196,0.6153536509970824,0.36533333333333284,300
Gaussian Blur,O150,0.3,diffusion,31.917560799916586,0.9079258642594019,33.83011819203695,0.9054457614819209,0.1645555555555558,300
Gaussian Blur,O300,0.3,diffusion,31.080291341145834,0.8993545361359914,32.628962224324546,0.8969013180335362,0.16455555555555584,300
Gaussian Blur,Random,0.3,diffusion,25.07407430966695,0.7626674130558968,25.615559231440226,0.7870048042138418,0.1395555555555558,300
Gaussian Blur,O150,0.1,mean,14.324939343134561,0.4353899674117565,14.328310198783875,0.4235330100357533,0.4618888888888887,300
Gaussian Blur,O300,0.1,mean,14.275397760073345,0.442712645928065,14.27913933912913,0.42983565643429755,0.4581111111111112,300
Gaussian Blur,Random,0.1,mean,14.603221683502197,0.27713782315452895,14.622033150990804,0.2741941610972087,0.4759999999999999,300
Gaussian Blur,O150,0.3,mean,15.650208511352538,0.4783483427762985,15.68162805557251,0.47706843142708144,0.38466666666666616,300
Gaussian Blur,O300,0.3,mean,15.634048566818237,0.48420439526438713,15.665661052068074,0.48214108606179557,0.38244444444444425,300
Gaussian Blur,Random,0.3,mean,15.67004316965739,0.32369816914200783,15.713592418034871,0.33218549109995366,0.4266666666666666,300
Gaussian Blur,O150,0.1,navier,24.224379212061564,0.6814337487022082,24.373173996607463,0.6686079983909925,0.4075555555555552,300
Gaussian Blur,O300,0.1,navier,24.37595224380493,0.6843874442577362,24.520981225967407,0.6705574318766594,0.40088888888888863,300
Gaussian Blur,Random,0.1,navier,21.48640155474345,0.5912503621975581,21.641283842722576,0.5901580771803856,0.38977777777777745,300
Gaussian Blur,O150,0.3,navier,30.149303690592447,0.8697009366750718,31.43343694051107,0.8702244106928507,0.18544444444444455,300
Gaussian Blur,O300,0.3,navier,30.15769993464152,0.8699699328343073,31.439260533650717,0.870118392308553,0.18855555555555575,300
Gaussian Blur,Random,0.3,navier,24.398089237213135,0.7427005218466123,24.8291521135966,0.7657591695586841,0.16122222222222252,300
Gaussian Blur,O150,0.1,telea,23.416989345550537,0.6763429312904676,23.550599699020385,0.663534362812837,0.42466666666666647,300
Gaussian Blur,O300,0.1,telea,23.47040491104126,0.6777332638700803,23.598554191589354,0.66411857376496,0.4233333333333332,300
